"","algorithm","iomode","image","nthreads","imsize","media","desv_pad"
"271","pth","withoutIO","elephant",8,16,0.00155,0.00051041778553404
"272","pth","withoutIO","elephant",8,32,0.002,0
"273","pth","withoutIO","elephant",8,64,0.0025,0.000512989176042577
"274","pth","withoutIO","elephant",8,128,0.006,0.000324442842261525
"275","pth","withoutIO","elephant",8,256,0.0193,0.00103109548284184
"276","pth","withoutIO","elephant",8,512,0.08295,0.00348643989735873
"277","pth","withoutIO","elephant",8,1024,0.3172,0.0106701748616856
"278","pth","withoutIO","elephant",8,2048,1.2352,0.00682564822447
"279","pth","withoutIO","elephant",8,4096,4.98445,0.0828762393731254
"280","pth","withoutIO","elephant",8,8192,20.75605,0.111023693535731
"281","pth","withoutIO","elephant",16,16,0.00185,0.000366347548532523
"282","pth","withoutIO","elephant",16,32,0.00195,0.000223606797749979
"283","pth","withoutIO","elephant",16,64,0.0023,0.000470162345981627
"284","pth","withoutIO","elephant",16,128,0.00605,0.000223606797749979
"285","pth","withoutIO","elephant",16,256,0.021,0.00112390297389803
"286","pth","withoutIO","elephant",16,512,0.0805,0.00326867106425773
"287","pth","withoutIO","elephant",16,1024,0.3127,0.00471392115245673
"288","pth","withoutIO","elephant",16,2048,1.23935,0.0248432454020255
"289","pth","withoutIO","elephant",16,4096,4.95575,0.0563960384946915
"290","pth","withoutIO","elephant",16,8192,20.73055,0.132872109068913
"291","pth","withoutIO","elephant",32,16,0.002,0
"292","pth","withoutIO","elephant",32,32,0.002,0
"293","pth","withoutIO","elephant",32,64,0.00265,0.000489360484929593
"294","pth","withoutIO","elephant",32,128,0.0062,0.000410391340834062
"295","pth","withoutIO","elephant",32,256,0.02105,0.000759154654516248
"296","pth","withoutIO","elephant",32,512,0.0815,0.0033166247903554
"297","pth","withoutIO","elephant",32,1024,0.31395,0.00793045429109569
"298","pth","withoutIO","elephant",32,2048,1.24365,0.0296368813616093
"299","pth","withoutIO","elephant",32,4096,4.919,0.0306474005079506
"300","pth","withoutIO","elephant",32,8192,20.65875,0.108786064800309
"301","pth","withoutIO","full",1,16,0.001,0
"302","pth","withoutIO","full",1,32,0.00105,0.000223606797749979
"303","pth","withoutIO","full",1,64,0.002,0
"304","pth","withoutIO","full",1,128,0.00605,0.000223606797749979
